iso3,country_elcano,year,SOFT,log_SOFT,SOFT_SHARE,SOFT_RANK,ECONOMIC,MILITARY,GLOBAL,exports_pct_gdp,gdp_pc_usd,fuel_exp_pct,fuel_imp_pct,fuel_net,energy_imp_net_pct,gov_index,gov_cf,gpr_global,gprc,brent,gscpi,log_gdp_pc,nbrand_res,stock_ret,stock_vol,z_nbrand,z_fuelnet,z_gpr,z_brent,z_gscpi,z_gov,z_lgdp,exp_gpr,exp_brent,exp_gscpi,cush_gpr,cush_brent,cush_gscpi,brand_strong,brand_tercile,panelid
ARG,Argentina,2011,15.10781478881836,2.715212,0.005133,29,25.986682891845703,26.80692481994629,67.90142059326172,18.4492091453155,12704.2831819684,5.97246544174461,12.7181118945673,-6.74564645282269,7.23741684026606,-0.1996019606788954,0,90.0953877766927,0.016001231657962,111.2642741935484,0.3204653871614673,9.449694474010553,0.8191331382857565,-0.358217,0.303879,-0.032858321506015475,-0.42934795206771476,-0.550185459458717,1.3739180489158833,-0.008940045181556087,-0.018665091679433435,0.6543537281242492,0.23622100027603485,-0.5898889006109048,0.003838390090093947,-0.007761825573542523,0.019382759149103118,-0.00012612305564581062,0,3,5
ARG,Argentina,2012,16.67767906188965,2.814071,0.00531,31,26.63214492797852,25.314611434936523,68.62443542480469,16.2378594620246,12949.717486654,6.22846935291873,12.8610259434896,-6.632556590570871,8.11439908863806,-0.2958911284804343,0,81.47523371378581,0.0186437709101786,111.57068273092368,-0.2780538635436023,9.468829251187325,0.8617709322038254,0.147341,0.258335,0.00023215455795170688,-0.42548594091581005,-0.9449780293641127,1.3865963843623275,-0.5444982385711806,-0.16125383996323725,0.672229641546649,0.40207486596875747,-0.5899772672708651,0.23167634536546,9.334351277246868e-05,-0.0001369659116848237,5.378471954618534e-05,0,3,5
ARG,Argentina,2013,16.37934112548828,2.796021,0.004901,33,25.540342330932617,24.505359649658203,66.42504119873047,14.6171733884386,12963.675773326,4.68210789818476,16.1489742219465,-11.46686632376174,13.9862181852131,-0.3217932134866714,0,83.03660519917806,0.0209595949272625,108.555,-0.5207854468038104,9.469906554177475,0.8289003649133224,0.636009,0.303729,-0.025278140890858294,-0.5905772915425475,-0.8734691146977848,1.2618157970124662,-0.7616957440086431,-0.19961065582639193,0.6732360695182799,0.5158510240042845,-0.7451997558252231,0.44984020947611003,-0.013039754863473828,0.01883726441958319,-0.011371124193510317,0,3,5
ARG,Argentina,2014,19.527700424194336,2.971834,0.005702,30,23.856000900268555,23.852237701416016,67.2359390258789,14.4054785893756,12233.1444119186,4.67799000825185,16.5564884173216,-11.87849840906975,14.0678103429199,-0.3755887870211159,0,100.29158528645831,0.0187878124803925,98.9696062992126,-0.6866222838802493,9.411904302087889,1.0398142218260935,0.464586,0.441442,0.13840856267410773,-0.6046344994326891,-0.08321201689985853,0.865198790953089,-0.9100874235702958,-0.2792732354147387,0.6190497454718052,0.05031285618503043,-0.5231290378776888,0.5502702537904115,0.006963730108599153,-0.07240553822573977,0.07616211490944734,0,3,5
ARG,Argentina,2015,18.859729766845703,2.937029,0.005274,31,22.097814559936523,23.528535842895508,64.48607635498047,10.7056520504538,13679.6264980954,2.5385946406222,10.9366808881128,-8.3980862474906,13.5477809878759,-0.3094794722273943,0,105.95364507039388,0.0275296602242936,52.31654901960784,-0.5098499600908116,9.52366288803301,0.8463771372754141,0.308132,0.376618,-0.011714711257644521,-0.4857786593635484,0.17610343346740645,-1.0651753260989296,-0.7519106126182147,-0.18137598838726915,0.7234558113542948,-0.08554728981911455,0.5174394418994686,0.36526212935890073,0.0010021617991049598,-0.0060616536551690026,-0.004278940378791924,0,3,5
ARG,Argentina,2016,19.470441818237305,2.968898,0.005497,32,21.163244247436523,22.14096069335937,62.7746467590332,12.5270951690009,12699.9623137756,2.4962680453126,8.40969351332395,-5.913425468011349,11.9993689573056,-0.0095260515809058,0,98.6786880493164,0.0217185452347621,43.638000000000005,-0.3789014579398476,9.449354305023036,0.8710511984609117,0.370928,0.301025,0.007434413404585442,-0.40092766168807203,-0.15708074831668867,-1.4242696144027738,-0.6347371998057909,0.26280671429826097,0.6540359386191162,0.06297801711882255,0.5710290861158761,0.2544837013045703,0.0004682046146623858,0.004245266292228044,0.0018919370402272154,0,3,5
ARG,Argentina,2017,20.1836166381836,3.004871,0.005527,31,21.304256439208984,22.104028701782227,63.59190368652344,11.3202833596733,14532.5009308511,2.78500093366595,8.1669181849067,-5.381917251240751,13.2189146873857,0.0139318630099296,0,107.37731170654295,0.0167091232724487,54.1248046875,0.2958228956892415,9.584142863628564,0.8372079653831217,0.571986,0.198625,-0.018830751632794487,-0.38277669201117687,0.2413056335524858,-0.9903547217944477,-0.030990276979342878,0.29754410745705967,0.779956851191193,-0.09236617217488176,0.37908470432612806,0.011862355706662994,0.0017393244474971314,-0.007138449914956651,-0.00022337707409203315,0,3,5
ARG,Argentina,2018,22.05360412597656,3.093476,0.005688,30,21.20596504211425,16.718666076660156,59.97823715209961,14.4366857499034,11752.7998922979,4.11930419519493,9.59245223609491,-5.47314804089998,8.60875532272658,0.0099401707605768,0,98.5529073079427,0.0784537434422721,71.335,0.4342439583858455,9.371846779892264,1.021070608866867,0.010553,0.393857,0.12386195932095659,-0.3858922173115479,-0.1628413532628588,-0.2782445725806336,0.09286962256028819,0.2916330541749034,0.5816275799524658,0.06283921088061765,0.10737241506804462,-0.03583766457067616,0.0077833877818560765,0.013299357707351009,-0.004438923351211177,0,3,5
ARG,Argentina,2019,23.13055229187012,3.141154,0.005808,30,18.998729705810547,16.462730407714844,58.59201431274414,17.9248783778462,9955.97478680428,3.59772172153483,8.5363177592406,-4.93859603770577,2.49167707965442,-0.1058833636343479,0,90.94625282287598,0.0389578358347838,64.30062256809337,-0.0488145355872009,9.205928131021867,1.1307909459595886,0.318889,0.659624,0.20901407097273955,-0.3676373025340226,-0.5112168753969966,-0.5693076007278519,-0.3393736745917349,0.12011705535333646,0.4266246042204481,0.18794239308082336,0.20929871064370384,0.12476642227796458,0.03928260468618173,0.04374637556098599,0.026077937841021283,0,3,5
ARG,Argentina,2020,23.37518882751465,3.151675,0.00577,31,18.845304489135746,16.147207260131836,58.36770248413086,16.6054144372484,8535.59938004389,2.67898842404181,6.05806075448223,-3.37907233044042,1.22800616932178,-0.1483230516314508,0,77.29380416870117,0.0154814871881778,41.95725490196079,1.642755080402542,9.052000858895653,1.1810313060458284,0.206461,0.538975,0.2480047710092696,-0.3143796733425816,-1.1364824159371796,-1.4938141849798308,1.1742517709808786,0.05727071316109083,0.2828241008514009,0.35728697068191845,0.46962481550847396,-0.3691608881829166,0.0886088733485648,0.11646919483044957,-0.09155366153938281,0,3,5
ARG,Argentina,2021,21.91121482849121,3.086999,0.005721,28,15.756503105163574,9.632092475891112,47.29980850219727,18.0667091690365,10738.0179223384,2.64279316542856,9.20147449693219,-6.558681331503631,5.96636808897159,-0.2184946049431647,0,82.07023620605469,0.01372220107199,70.85533596837945,3.060949399439848,9.281545800038526,1.1269539298618396,0.48858,0.31155,0.2060362271944334,-0.42296310581205665,-0.9177276390220483,-0.2980917398514034,2.443259553912354,-0.04664205480955086,0.49726743909946386,0.38816493249033157,0.1260818081044692,-1.0334086492277494,0.07997603821948986,0.02597742005969737,-0.2129196192369811,0,3,5
ARG,Argentina,2022,23.33754539489746,3.150063,0.005612,29,15.140050888061523,9.494354248046877,47.97195053100586,16.2816677253254,13962.1894087223,6.17703046770052,15.6887992367548,-9.51176876905428,1.95855821220972,-0.2438177006940046,0,157.58319346110025,0.0394582799635827,100.93130952380952,2.1971575150332874,9.544108198454824,1.0238596069350885,0.883842,0.3142,0.1260264539004902,-0.5238108421986732,2.540673943863645,0.9463686295641772,1.6703340038445316,-0.08414148084286492,0.7425560389460788,-1.3308325582874405,-0.4957181488824159,-0.874939061306886,-0.16772010805628354,-0.06247360043776612,-0.11026546727553044,0,3,5
ARG,Argentina,2023,25.00018882751465,3.218883,0.005786,27,19.338525772094727,9.6505708694458,53.989288330078125,12.8223120961047,14261.8465667948,8.81364245499018,10.5352904820124,-1.7216480270222192,0.41571453028353,-0.2042265484730403,0,121.7112553914388,0.0278704313095659,82.49386454183266,-0.6133767102773175,9.565343178347431,1.0431831822115711,1.526178,0.569191,0.14102315627175768,-0.2577787454098395,0.897782817480094,0.18347829282866657,-0.8445468966342577,-0.025513361323375047,0.7623939842004113,-0.2314293283405296,-0.04729680413531282,0.21770623945415238,-0.03263689433643442,-0.006669944600728935,0.030701621027879628,0,3,5
ARG,Argentina,2024,25.08140754699707,3.222127,0.005721,27,17.695682525634766,8.734589576721191,51.511680603027344,15.2497485928824,13969.7836603737,8.77014211533671,6.21877402105712,2.5513680942795904,,-0.2042265484730403,1,134.45275115966797,0.0412459893462558,80.52185039370079,-0.2885998458276854,9.54465196611633,1.0664587018540843,1.002544,0.409948,0.15908689632094883,-0.11185553369003186,1.481327823992613,0.10188181679925232,-0.5539348393370358,-0.025513361323375047,0.7430640325092747,-0.1656947143225873,-0.011396044991390422,0.06196067708354619,-0.026359857838366682,-0.0018129614280141962,0.009857131811165903,0,3,5
BRA,Brazil,2011,38.98816680908203,3.663258,0.013246,15,84.31580352783203,72.81369018554688,196.1176605224609,11.5825126792652,13396.6263158041,10.5615058710782,19.019982820447,-8.458476949368801,10.7016076437075,0.1167071480304001,0,90.0953877766927,0.0540563131993015,111.2642741935484,0.3204653871614673,9.502758186762945,1.7222993205082509,-0.199791,0.248151,0.6680737903205538,-0.48784099775074735,-0.550185459458717,1.3739180489158833,-0.008940045181556087,0.4497377506276453,0.7039264159203905,0.2684030234902939,-0.6702535518108846,0.0043613205613070825,0.17931302523665726,-0.4477788308341114,0.002913683958195388,1,3,19
